   #Date       Time       lat.     long.   depth  Mn   residue
2017-11-20 04:54:28.869 34.72684 45.63695 6.541 3.50 0.555
2017-11-20 11:21:18.476 34.58906 45.83176 4.000 3.20 0.466
2017-11-20 13:13:37.243 34.99778 45.84942 2.002 3.10 0.299
2017-11-20 15:36:01.016 34.84630 45.83023 29.998 4.30 0.159
2017-11-20 15:36:56.185 34.64935 45.72658 7.250 4.50 0.156
2017-11-20 17:47:06.966 34.55196 45.67931 2.353 3.10 0.529
2017-11-21 02:25:12.377 35.07241 45.91004 5.998 3.10 0.404
2017-11-21 14:10:41.534 34.77345 45.77388 2.488 3.40 0.000
2017-11-21 17:46:21.111 34.52504 45.66419 4.267 4.00 0.502
2017-11-22 03:43:33.251 34.76477 45.75272 4.708 3.50 0.355
2017-11-22 04:13:47.106 34.41161 45.81593 5.596 3.50 0.094
2017-11-22 09:56:35.136 34.20999 45.19108 2.003 3.70 0.457
2017-11-22 11:02:17.008 34.91958 45.78236 2.002 3.20 0.656
2017-11-22 16:42:37.247 34.90181 45.75628 10.165 4.20 0.242
2017-11-22 19:12:53.021 34.57455 45.78779 9.059 3.70 0.302
2017-11-22 19:15:37.586 34.74402 45.69647 3.402 3.20 0.456
2017-11-22 19:47:14.530 34.74439 45.67341 8.794 4.20 0.313
2017-11-22 20:34:03.983 34.73297 45.64976 17.670 4.20 0.487
2017-11-23 06:12:06.566 34.47609 45.91322 6.341 3.20 0.291
2017-11-23 14:00:16.364 34.44285 45.84568 4.001 3.40 0.520
2017-11-24 07:22:40.520 34.48109 45.92081 2.343 3.30 0.173
2017-11-24 11:32:11.253 34.55605 45.79004 6.695 3.40 0.235
2017-11-24 13:38:00.572 34.57531 46.41242 2.003 3.20 0.335
2017-11-24 15:58:43.759 34.63279 46.29083 4.638 3.20 0.209
2017-11-24 17:05:52.353 34.71096 45.68460 3.295 3.40 0.357
2017-11-26 05:47:32.325 34.57234 45.82606 10.617 4.40 0.758
2017-11-26 08:41:13.938 34.58841 45.78835 6.579 3.10 0.843
2017-11-26 18:42:54.260 34.59436 45.78643 4.962 3.10 0.178
2017-11-26 23:06:38.528 34.49580 45.83210 5.999 3.30 0.182
2017-11-27 02:10:11.979 34.90575 45.87015 3.432 3.20 0.566
2017-11-27 03:00:30.276 34.77293 45.72816 5.362 3.90 0.323
2017-11-27 05:37:50.887 34.45577 45.79655 6.288 3.20 0.179
2017-11-27 07:19:29.839 34.62737 46.31349 3.128 3.20 0.315
2017-11-27 09:50:54.798 34.84451 45.91470 7.724 3.10 0.517
2017-11-27 13:11:34.266 34.82736 45.85052 5.289 3.30 0.252
2017-11-28 09:54:07.646 34.73261 45.66850 2.001 3.20 0.061
2017-11-28 13:22:27.095 35.19025 45.80622 8.001 3.90 0.501
2017-11-29 15:31:09.517 34.53177 46.19089 2.002 3.60 0.338
2017-11-30 03:23:45.809 34.58260 45.99112 2.002 3.20 0.514
2017-11-30 07:20:52.993 34.49381 45.82201 9.411 3.20 0.138
2017-11-30 22:29:16.680 34.99306 45.76435 6.000 3.90 0.833
