#Lon	Lat	Depth size	Mag.
46.158	34.514	8.8	0.32    3.2
46.159	34.521	8.8	0.25    2.5
45.914	34.589	8.7	0.27    2.7
46.106	34.65	6.9	0.3     3
45.935	34.57	7.8	0.26    2.6
45.921	34.585	8.6	0.32    3.2
45.916	34.581	9.3	0.32    3.2
46.354	34.624	10.6	0.3     3
45.986	34.646	7.3	0.27    2.7
46.163	34.555	8	0.41    4.1
46.197	34.628	6.8	0.3     3
45.924	34.511	10.6	0.3     3
45.936	34.513	14.3	0.25    2.5
45.774	34.857	3.6	0.37    3.7
45.922	34.592	10	0.21    2.1
45.564	34.925	5.6	0.26    2.6
45.495	34.636	10.9	0.29    2.9
45.673	34.739	8	0.22    2.2
46.257	34.629	6.9	0.28    2.8
46.264	34.657	10.5	0.32    3.2
45.871	34.588	8.4	0.22    2.2
45.706	34.621	10.8	0.28    2.8
46.162	34.565	8	0.31    3.1
45.94	34.623	9.1	0.36    3.6
45.504	34.645	0	0.25    2.5
45.802	34.499	13.3	0.34    3.4
45.703	34.685	8	0.27    2.7
45.949	34.624	7.9	0.21    2.1
45.709	34.509	14.2	0.27    2.7
46.274	34.534	15.2	0.25    2.5
45.677	34.636	15	0.26    2.6
45.607	34.694	35	0.24    2.4
45.729	34.582	16.1	0.31    3.1
45.616	34.754	11.3	0.22    2.2
45.602	34.656	11.1	0.22    2.2
45.569	34.601	18.2	0.23    2.3
45.626	34.791	0.3	0.32    3.2
45.733	34.5	16.8	0.24    2.4
45.744	34.77	6.9	0.26    2.6
45.792	34.82	6	0.33    3.3
45.733	35.009	4.2	0.45    4.5
46.349	34.637	7.9	0.24    2.4
45.67	34.883	9.3	0.28    2.8
45.678	34.702	6.4	0.34    3.4
46.242	34.661	8.3	0.29    2.9
46.242	34.657	11	0.33    3.3
45.84	35.048	12.1	0.32    3.2
46.116	34.607	4.2	0.29    2.9
46.081	34.574	10.3	0.22    2.2
45.774	34.616	16.3	0.37    3.7
46.316	34.675	6.8	0.34    3.4
45.686	34.688	7.1	0.23    2.3
45.761	34.816	6.4	0.38    3.8
45.681	34.838	6.4	0.29    2.9
46.268	34.647	8.8	0.26    2.6
45.916	34.836	19	0.34    3.4
46.321	34.655	2.8	0.31    3.1
45.819	35.063	11.9	0.24    2.4
46.033	34.699	7.7	0.07    0.7
46.649	34.387	18.2	0.47    4.7
46.158	34.515	12.9	0.22    2.2
46.605	34.386	19.2	0.5     5
46.612	34.395	18.5	0.48    4.8
46.097	34.603	11.1	0.26    2.6
46.076	34.504	13	0.1     1
45.906	34.579	9.3	0.16    1.6
45.872	34.598	8.7	0.28    2.8
46.095	34.623	7.5	0.25    2.5
46.143	34.617	8.2	0.13    1.3
46.162	34.519	11.1	0.25    2.5
45.716	34.563	12.5	0.22    2.2
45.908	34.584	8.9	0.28    2.8
45.62	34.71	12.6	0.26    2.6
46.032	34.6	6.8	0.21    2.1
45.721	34.72	5.7	0.29    2.9
45.786	34.655	16.1	0.29    2.9
45.617	34.636	11.6	0.29    2.9
45.804	34.308	8.1	0.29    2.9
45.59	34.789	9.9	0.25    2.5
45.737	34.37	17.2	0.28    2.8
45.701	34.816	5	0.32    3.2
45.712	34.807	6.1	0.29    2.9
46.087	34.677	9.9	0.31    3.1
45.81	34.529	12	0.23    2.3
45.758	34.766	9.6	0.27    2.7
45.775	34.572	16.5	0.28    2.8
45.782	34.537	12.5	0.16    1.6
46.312	34.687	6.4	0.28    2.8
45.654	34.552	14.4	0.29    2.9
45.71	34.554	15.4	0.27    2.7
46.339	34.688	8.2	0.33    3.3
45.659	34.94	11.5	0.27    2.7
46.168	34.594	13.2	0.26    2.6
45.787	34.522	16	0.26    2.6
46.198	34.545	15	0.27    2.7
46.192	34.644	7.4	0.23    2.3
45.667	34.894	10.6	0.29    2.9
45.757	34.766	9.5	0.25    2.5
45.719	34.838	13.1	0.37    3.7
45.86	34.776	10.2	0.24    2.4
45.77	34.492	16.6	0.23    2.3
46.369	34.65	9.1	0.31    3.1
46.216	34.511	11.1	0.2     2
45.807	34.455	12.4	0.26    2.6
45.78	34.499	15	0.19    1.9
45.716	34.762	1.9	0.27    2.7
46.084	34.573	9.8	0.23    2.3
45.695	35.326	13.3	0.4     4
46.069	34.596	12.6	0.21    2.1
46.188	34.566	10	0.32    3.2
45.819	34.516	13.4	0.24    2.4
45.625	34.552	17.5	0.24    2.4
45.793	34.531	12.9	0.27    2.7
46.162	34.515	12	0.26    2.6
46.165	34.563	13.2	0.27    2.7
45.883	34.607	8.4	0.26    2.6
45.536	34.375	15	0.29    2.9
45.878	34.481	12.8	0.2     2
46.322	34.671	6	0.23    2.3
45.887	34.575	10.6	0.24    2.4
45.84	34.486	11.7	0.2     2
46.38	34.654	9.8	0.24    2.4
45.812	34.992	9.4	0.36    3.6
46.009	34.623	7.1	0.27    2.7
45.692	34.766	6.4	0.27    2.7
46.386	34.645	11	0.27    2.7
45.611	34.472	17.6	0.31    3.1
45.883	34.574	10.2	0.25    2.5
45.951	34.647	20	0.29    2.9
45.685	34.965	9.3	0.28    2.8
45.764	34.46	2.9	0.15    1.5
45.89	34.881	9.4	0.24    2.4
45.846	34.915	14.6	0.26    2.6
45.603	34.763	12.4	0.23    2.3
